year,month,value,date
1850,january,-0.675,1850-01
1850,february,-0.333,1850-02
1850,march,-0.591,1850-03
1850,april,-0.589,1850-04
1850,may,-0.508,1850-05
1850,june,-0.344,1850-06
1850,july,-0.16,1850-07
1850,august,-0.208,1850-08
1850,september,-0.385,1850-09
1850,october,-0.533,1850-10
1850,november,-0.283,1850-11
1850,december,-0.404,1850-12
1851,january,-0.201,1851-01
1851,february,-0.469,1851-02
1851,march,-0.646,1851-03
1851,april,-0.542,1851-04
1851,may,-0.198,1851-05
1851,june,-0.137,1851-06
1851,july,-0.097,1851-07
1851,august,-0.102,1851-08
1851,september,-0.091,1851-09
1851,october,-0.008,1851-10
1851,november,-0.082,1851-11
1851,december,-0.228,1851-12
1852,january,-0.375,1852-01
1852,february,-0.477,1852-02
1852,march,-0.56,1852-03
1852,april,-0.585,1852-04
1852,may,-0.127,1852-05
1852,june,-0.084,1852-06
1852,july,0.005,1852-07
1852,august,-0.136,1852-08
1852,september,-0.002,1852-09
1852,october,-0.172,1852-10
1852,november,-0.305,1852-11
1852,december,0.065,1852-12
1853,january,-0.233,1853-01
1853,february,-0.404,1853-02
1853,march,-0.28,1853-03
1853,april,-0.386,1853-04
1853,may,-0.268,1853-05
1853,june,-0.142,1853-06
1853,july,-0.083,1853-07
1853,august,-0.057,1853-08
1853,september,-0.25,1853-09
1853,october,-0.392,1853-10
1853,november,-0.411,1853-11
1853,december,-0.337,1853-12
1854,january,-0.381,1854-01
1854,february,-0.361,1854-02
1854,march,-0.243,1854-03
1854,april,-0.334,1854-04
1854,may,-0.291,1854-05
1854,june,-0.299,1854-06
1854,july,-0.179,1854-07
1854,august,-0.239,1854-08
1854,september,-0.217,1854-09
1854,october,-0.095,1854-10
1854,november,-0.41,1854-11
1854,december,-0.45,1854-12
1855,january,-0.159,1855-01
1855,february,-0.313,1855-02
1855,march,-0.344,1855-03
1855,april,-0.218,1855-04
1855,may,-0.388,1855-05
1855,june,-0.333,1855-06
1855,july,-0.333,1855-07
1855,august,-0.2,1855-08
1855,september,-0.271,1855-09
1855,october,-0.195,1855-10
1855,november,-0.389,1855-11
1855,december,-0.42,1855-12
1856,january,-0.076,1856-01
1856,february,-0.337,1856-02
1856,march,-0.358,1856-03
1856,april,-0.316,1856-04
1856,may,-0.285,1856-05
1856,june,-0.214,1856-06
1856,july,-0.225,1856-07
1856,august,-0.238,1856-08
1856,september,-0.388,1856-09
1856,october,-0.438,1856-10
1856,november,-0.552,1856-11
1856,december,-0.418,1856-12
1857,january,-0.495,1857-01
1857,february,-0.435,1857-02
1857,march,-0.479,1857-03
1857,april,-0.644,1857-04
1857,may,-0.659,1857-05
1857,june,-0.304,1857-06
1857,july,-0.411,1857-07
1857,august,-0.369,1857-08
1857,september,-0.38,1857-09
1857,october,-0.473,1857-10
1857,november,-0.685,1857-11
1857,december,-0.274,1857-12
1858,january,-0.295,1858-01
1858,february,-0.477,1858-02
